Id,Class,Size,Q,Q/Size
01kcPWA9K2BOxQeS5Rju,1,196608,13940,7.09
04EjIdbPV5e1XroFOpiN,1,245760,340,0.14
05EeG39MTRrI6VY21DPd,1,147456,8512,5.77
05rJTUWYAKNegBk2wE8X,1,806912,44280,5.49
0AnoOZDNbPXIr2MRBSCJ,1,163840,27384,16.71
0AwWs42SUQ19mI7eDcTC,1,208896,7668,3.67
0cH8YeO15ZywEhPrJvmj,1,147456,25256,17.13
0DNVFKwYlcjO7bTfJ5p1,1,241664,13756,5.69
0DqUX5rkg3IbMY6BLGCE,1,188416,4488,2.38
0eaNKwluUmkYdIvZ923c,1,589824,4316,0.73
0fHVZKeTE6iRb1PIQ4au,1,450560,8984,1.99
0G4hwobLuAzvl1PWYfmd,1,925696,27644,2.99
0gkj92oIleU4SYiCWpaM,1,147456,15680,10.63
0H63jydvIahOVqgx5Kfo,1,675840,38416,5.68
0Hrfce4X5YGESJPjl9uL,1,1998848,63536,3.18
0I4ZVvngsAatm8fzD3pk,1,348160,8948,2.57
0iBaz3krsQ8HuA7cGDSt,1,184320,492,0.27
0iS3pwlgJco8XORD4TLq,1,147456,23296,15.8
0jkmvR43UQ9yKxqXei61,1,1236992,104172,8.42
0KigmP9TLwJXNGz26tfO,1,1372160,5020,0.37
0l6fhCty3aSLDOgAjYQi,1,151552,25836,17.05
0MOorvEIRmZGhqQdc3TA,1,217088,13188,6.07
0NEsQlDGnUMg3Bew7R1A,1,126976,452,0.36
0NyfGXt8nmlK72Q9Irhs,1,401408,6968,1.74
0odUVkrjp2B1n8NDS6bR,1,663552,99936,15.06
0pTO4SVnWDehgUlYBAvq,1,376832,16452,4.37
0qpMX5CZU8mgD2kaRNVv,1,143360,10040,7.0
0Rgetc1wAfxlzHTGBOa7,1,147456,8956,6.07
0rgudc7PpbexCtBjNqWF,1,139264,9540,6.85
0S7z4qxYTHPUDO8fgIyA,1,147456,4404,2.99
0SIqXMkDBWKE8s9pQaOv,1,159744,13620,8.53
0uNkt6sirCnUWw175pjl,1,942080,87172,9.25
0WdoYq78xDkFMcIwRpmJ,1,659456,8820,1.34
0X6U3SfcmbuZNodnH9qL,1,249856,768,0.31
0yBQ5dAc2gN4qx9YWuiS,1,880640,8824,1.0
0YRDpBU67WrqEugkXlnd,1,806912,12696,1.57
0ZHV6acpJ9KkAWPjEI71,1,221184,8400,3.8
0ZiQmgtxzHe9v5O8Lf2k,1,356352,11252,3.16
0ZTEyLXaWReMK3rYVCjv,1,319488,12568,3.93
12TEseaJ4jnbyORqKxhf,1,212992,26824,12.59
15loeAHtkJa8BuFi6Zry,1,458752,23028,5.02
175ZU8ClOsnifz03ybcX,1,1130496,12888,1.14
19zYbuW3XONcEedv7xUl,1,155648,25792,16.57
1aAwe4J9VHrsq8uEoZhf,1,528384,29592,5.6
1AXVt0D9mSU26fL4iFGc,1,253952,82208,32.37
1ckp5Ye83yzjIilWQCfm,1,421888,9084,2.15
1Cub9LvOgMWkQqs3R2ef,1,315392,17328,5.49
1CWtrEfORZDj7psmnToA,1,1810432,20112,1.11
1d485UYC6qhXKrAcDJPZ,1,1294336,39992,3.09
1DNWriJEg56S03yvjTBu,1,1138688,10656,0.94
1E93CpP60RHFNiT5Qfvn,1,114688,80,0.07
1eJx34l8pcAFvMuOwrjB,1,606208,4532,0.75
1GQ4lzmoS3P96jkAKsRn,1,147456,420,0.28
1gQDa4l9cNBbkO7n5IY0,1,372736,21968,5.89
1h0FDrPmV7gfCzs9Id43,1,163840,18664,11.39
1her6tuVWjBkqZPUf8KR,1,172032,52,0.03
1hK3zVxBGXmtTP6JlHwb,1,540672,23932,4.43
1HRWOczEX65rYmMiZ2lv,1,204800,8552,4.18
1IGurl3q9bJQ7pmtMD8O,1,438272,3248,0.74
1ik3ncdBTYIJAgfmjpwz,1,528384,28568,5.41
1JzApr8qu7Cci5LT23t9,1,577536,10068,1.74
